epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,486.464,0.68298,0.39498,0.89978,0.9969,0.96667,0.97565,0.77943,0.89069,0.34505,1.01251,0.0014332,0.0014332,0.0014332
87,492.057,0.7091,0.41277,0.91781,0.99684,0.96667,0.97714,0.78201,0.8745,0.33955,1.03685,0.00143045,0.00143045,0.00143045
88,497.695,0.70477,0.40655,0.91073,0.9969,0.96667,0.97686,0.78505,0.82638,0.3441,1.02173,0.0014277,0.0014277,0.0014277
89,503.225,0.70625,0.39822,0.90667,0.99599,0.96667,0.9766,0.79532,0.84715,0.34392,1.02858,0.00142495,0.00142495,0.00142495
90,508.76,0.7255,0.42588,0.92828,0.98798,0.96667,0.97356,0.79518,0.84289,0.35292,0.98044,0.0014222,0.0014222,0.0014222
91,514.345,0.70904,0.41022,0.92115,0.99237,0.96667,0.96892,0.76825,0.84402,0.36262,1.02497,0.00141945,0.00141945,0.00141945
92,519.918,0.68747,0.39384,0.91128,0.99755,0.96667,0.97205,0.7642,0.83661,0.36914,0.99931,0.0014167,0.0014167,0.0014167
93,525.446,0.71994,0.39805,0.91265,0.99774,0.96667,0.97246,0.77753,0.84145,0.34586,1.03305,0.00141395,0.00141395,0.00141395
94,530.862,0.67548,0.39155,0.90204,0.99753,0.96667,0.97279,0.7816,0.88991,0.3728,1.04212,0.0014112,0.0014112,0.0014112
95,536.252,0.69609,0.3956,0.90715,0.99703,0.96667,0.97316,0.78969,0.84441,0.34551,1.02171,0.00140845,0.00140845,0.00140845
96,541.771,0.67971,0.39134,0.91637,0.99332,0.96667,0.97611,0.77077,0.86922,0.36583,1.05143,0.0014057,0.0014057,0.0014057
97,547.271,0.67463,0.38581,0.89806,0.99581,0.96667,0.9766,0.77837,0.84094,0.35042,1.02777,0.00140295,0.00140295,0.00140295
98,552.634,0.69908,0.4071,0.9157,0.99571,0.96667,0.97504,0.78635,0.83361,0.34899,1.03076,0.0014002,0.0014002,0.0014002
99,557.984,0.7055,0.40387,0.90431,0.99051,0.96667,0.97316,0.77326,0.85848,0.38561,1.03343,0.00139745,0.00139745,0.00139745
100,563.376,0.69997,0.39172,0.91541,0.98159,0.96667,0.97107,0.77235,0.83754,0.39177,1.03055,0.0013947,0.0013947,0.0013947
101,568.639,0.71138,0.39821,0.90058,0.98783,0.96667,0.97137,0.77645,0.88194,0.40469,1.0527,0.00139195,0.00139195,0.00139195
102,574.173,0.6811,0.38586,0.91418,0.98625,0.96667,0.97144,0.78657,0.7971,0.38868,1.03043,0.00138919,0.00138919,0.00138919
103,579.706,0.67475,0.38672,0.89699,0.98475,0.96667,0.97565,0.80185,0.79187,0.36615,1.02118,0.00138644,0.00138644,0.00138644
104,585.654,0.67965,0.39478,0.91636,0.98364,0.96667,0.97587,0.81003,0.80073,0.37324,1.00569,0.00138369,0.00138369,0.00138369
105,591.087,0.67532,0.39164,0.90359,0.99073,0.96667,0.97485,0.79936,0.77647,0.35428,0.98301,0.00138094,0.00138094,0.00138094
106,596.503,0.6659,0.39425,0.89604,0.99088,0.96667,0.97291,0.79717,0.77531,0.36183,0.95514,0.00137819,0.00137819,0.00137819
107,602.028,0.65787,0.38197,0.88827,0.99125,0.96667,0.971,0.80368,0.74505,0.37872,0.95465,0.00137544,0.00137544,0.00137544
108,607.663,0.67877,0.38179,0.90097,0.9943,0.96667,0.97316,0.78687,0.80455,0.35006,0.98635,0.00137269,0.00137269,0.00137269
109,613.187,0.63937,0.37697,0.89331,0.99218,0.96667,0.97196,0.78638,0.81178,0.3552,1.02153,0.00136994,0.00136994,0.00136994
110,618.71,0.68634,0.39913,0.89911,0.98631,0.96667,0.97432,0.79046,0.82319,0.33759,1.02878,0.00136719,0.00136719,0.00136719
111,624.153,0.67323,0.39869,0.8989,0.97636,0.96667,0.97449,0.78375,0.87513,0.35209,1.0275,0.00136444,0.00136444,0.00136444
112,629.563,0.69619,0.39834,0.90391,0.97471,0.96667,0.97152,0.76266,0.89276,0.3736,1.01965,0.00136169,0.00136169,0.00136169
113,634.972,0.65495,0.3796,0.89721,0.98815,0.96667,0.97129,0.74458,0.91738,0.36344,1.06311,0.00135894,0.00135894,0.00135894
114,640.496,0.68267,0.40181,0.90336,0.99334,0.96667,0.9737,0.77003,0.87519,0.34245,1.03458,0.00135619,0.00135619,0.00135619
115,646.243,0.67274,0.39145,0.89979,0.99429,0.96667,0.97773,0.77721,0.84043,0.32055,1.04305,0.00135344,0.00135344,0.00135344
116,652.093,0.63905,0.38163,0.88743,0.99399,0.96667,0.97714,0.77347,0.88548,0.35225,1.04879,0.00135069,0.00135069,0.00135069
117,657.942,0.65401,0.37114,0.9073,0.98982,0.96667,0.97416,0.77742,0.87058,0.34816,1.04403,0.00134794,0.00134794,0.00134794
118,663.473,0.66903,0.38131,0.90163,0.99654,0.96667,0.97205,0.76967,0.86617,0.336,1.02636,0.00134519,0.00134519,0.00134519
119,668.965,0.66103,0.38858,0.89363,0.99741,0.96667,0.97235,0.77281,0.86614,0.34686,1.03154,0.00134244,0.00134244,0.00134244
120,674.649,0.64676,0.38091,0.90268,0.99737,0.96667,0.97611,0.78384,0.89706,0.34612,1.05207,0.00133968,0.00133968,0.00133968
121,680.073,0.66283,0.37125,0.88387,0.99407,0.96667,0.97485,0.78717,0.84526,0.32601,1.04249,0.00133693,0.00133693,0.00133693
122,685.628,0.65028,0.37082,0.89262,0.96476,0.96667,0.97257,0.77587,0.85329,0.37269,1.03284,0.00133418,0.00133418,0.00133418
