epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
112,730.9,0.42741,0.26769,0.83293,1,1,0.995,0.83297,0.83739,0.29306,1.01959,0.00408507,0.00136169,0.00408507,0.00136169,0.00408507,0.00136169,0.00408507,0.00136169
113,737.131,0.41635,0.26358,0.83552,1,1,0.995,0.83059,0.85396,0.30657,1.02451,0.00407682,0.00135894,0.00407682,0.00135894,0.00407682,0.00135894,0.00407682,0.00135894
114,743.206,0.4294,0.27756,0.82423,0.99827,1,0.995,0.8184,0.85825,0.3142,1.02965,0.00406856,0.00135619,0.00406856,0.00135619,0.00406856,0.00135619,0.00406856,0.00135619
115,749.093,0.41697,0.26092,0.82831,0.99815,1,0.995,0.83595,0.8399,0.32409,1.01978,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
116,755.553,0.40131,0.25894,0.82286,0.99813,1,0.995,0.85114,0.81642,0.32013,0.99405,0.00405206,0.00135069,0.00405206,0.00135069,0.00405206,0.00135069,0.00405206,0.00135069
117,761.925,0.40518,0.24833,0.82285,0.99823,1,0.995,0.82648,0.82119,0.31983,0.99862,0.00404381,0.00134794,0.00404381,0.00134794,0.00404381,0.00134794,0.00404381,0.00134794
118,767.842,0.4244,0.25299,0.83777,0.99837,1,0.995,0.83313,0.81695,0.31849,1.00056,0.00403556,0.00134519,0.00403556,0.00134519,0.00403556,0.00134519,0.00403556,0.00134519
119,773.785,0.39806,0.24787,0.82878,0.99822,1,0.995,0.83796,0.81654,0.29596,0.99854,0.00402731,0.00134244,0.00402731,0.00134244,0.00402731,0.00134244,0.00402731,0.00134244
120,780.575,0.40424,0.24854,0.82396,0.99818,1,0.995,0.83003,0.84345,0.3076,1.00574,0.00401905,0.00133968,0.00401905,0.00133968,0.00401905,0.00133968,0.00401905,0.00133968
121,786.581,0.40127,0.24857,0.80979,0.99826,1,0.995,0.82243,0.83183,0.30635,0.9887,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
