                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 0.6969,                0.43403,                 1.1545,                 0.9241,                   0.95,                0.92576,                0.69192,                0.98533,                0.51017,                 1.4266,              0.0014855,              0.0014855,              0.0014855
                     68,                0.69795,                0.43057,                 1.1484,                0.92642,                   0.95,                0.93125,                0.68107,                0.97421,                0.54409,                 1.4697,              0.0014827,              0.0014827,              0.0014827
                     69,                0.70275,                0.43287,                 1.1521,                0.92629,                   0.95,                0.91328,                0.65979,                0.95492,                0.53835,                 1.4471,                0.00148,                0.00148,                0.00148
                     70,                0.71989,                 0.4316,                 1.1593,                0.92878,                   0.95,                0.91572,                0.69466,                0.99633,                0.49578,                 1.5023,              0.0014772,              0.0014772,              0.0014772
                     71,                0.74865,                0.43307,                 1.1685,                 0.9287,                   0.95,                0.93456,                0.67804,                 1.0522,                0.51065,                 1.5728,              0.0014745,              0.0014745,              0.0014745
                     72,                0.71361,                0.43278,                 1.1864,                0.93142,                   0.95,                0.95047,                0.67724,                 1.0424,                0.55852,                 1.5293,              0.0014717,              0.0014717,              0.0014717
                     73,                0.73767,                 0.4761,                 1.1702,                0.92976,                   0.95,                 0.9515,                0.70486,                  1.012,                0.57769,                 1.4598,               0.001469,               0.001469,               0.001469
                     74,                0.73474,                0.44082,                 1.1817,                0.91193,                   0.95,                0.93625,                0.71914,                 1.0409,                  0.589,                 1.5214,              0.0014662,              0.0014662,              0.0014662
                     75,                0.71006,                0.45805,                 1.1835,                0.92401,                   0.95,                0.95031,                0.69979,                 1.0731,                0.56152,                 1.5488,              0.0014635,              0.0014635,              0.0014635
                     76,                 0.7135,                0.44617,                 1.1548,                0.93663,                   0.95,                0.95531,                0.65462,                 1.2505,                0.70313,                 1.7305,              0.0014607,              0.0014607,              0.0014607
                     77,                0.71111,                0.43116,                 1.1369,                0.92985,                   0.95,                0.94531,                0.70534,                 1.1077,                0.54646,                 1.5739,               0.001458,               0.001458,               0.001458
