                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.71057,                0.34077,                 1.0255,                0.98038,                      1,                  0.995,                0.78317,                0.82134,                0.36159,                 1.1441,              0.0009161,              0.0009161,              0.0009161
                     93,                0.71324,                 0.3525,                 1.0285,                0.98154,                      1,                  0.995,                0.80381,                0.80047,                0.34603,                 1.1261,             0.00090785,             0.00090785,             0.00090785
                     94,                0.69457,                0.37118,                 1.0579,                0.98597,                      1,                  0.995,                0.79605,                0.81075,                0.34291,                 1.1275,              0.0008996,              0.0008996,              0.0008996
                     95,                 0.6999,                0.36071,                 1.0315,                0.98106,                      1,                  0.995,                0.78242,                0.82132,                0.36822,                 1.1341,             0.00089134,             0.00089134,             0.00089134
                     96,                 0.7193,                0.36178,                 1.0575,                0.97533,                      1,                  0.995,                0.76757,                0.89536,                0.36765,                  1.179,             0.00088309,             0.00088309,             0.00088309
                     97,                0.69335,                0.35124,                 1.0489,                0.97245,                      1,                  0.995,                0.78912,                0.84997,                0.37391,                  1.141,             0.00087484,             0.00087484,             0.00087484
                     98,                0.68938,                0.33245,                 1.0225,                0.97933,                      1,                  0.995,                0.79357,                0.84988,                 0.3439,                  1.137,             0.00086659,             0.00086659,             0.00086659
                     99,                0.71385,                0.34639,                 1.0177,                0.98387,                      1,                  0.995,                0.76688,                0.89078,                0.34173,                 1.1759,             0.00085834,             0.00085834,             0.00085834
                    100,                0.69376,                0.34115,                 1.0574,                0.98585,                      1,                  0.995,                0.75482,                0.92884,                0.37239,                 1.2042,             0.00085009,             0.00085009,             0.00085009
                    101,                0.69377,                0.34094,                 1.0448,                0.98902,                      1,                  0.995,                0.78507,                0.84235,                0.36249,                  1.141,             0.00084184,             0.00084184,             0.00084184
                    102,                0.70735,                 0.3514,                  1.033,                0.98863,                      1,                  0.995,                0.78717,                0.81975,                0.36702,                 1.1283,             0.00083358,             0.00083358,             0.00083358
                    103,                0.69742,                0.34704,                 1.0344,                 0.9871,                      1,                  0.995,                0.78571,                0.82892,                0.36373,                 1.1293,             0.00082533,             0.00082533,             0.00082533
                    104,                0.70137,                0.33755,                 1.0553,                0.98556,                      1,                  0.995,                0.76698,                0.87574,                0.36837,                 1.1445,             0.00081708,             0.00081708,             0.00081708
                    105,                0.70741,                0.34596,                 1.0457,                0.98478,                      1,                  0.995,                0.76672,                0.87028,                 0.3699,                 1.1379,             0.00080883,             0.00080883,             0.00080883
                    106,                0.70785,                 0.3459,                 1.0417,                0.98496,                      1,                  0.995,                0.76761,                0.87471,                  0.369,                 1.1432,             0.00080058,             0.00080058,             0.00080058
                    107,                0.68831,                0.33838,                 1.0393,                0.98129,                      1,                  0.995,                0.76849,                0.87673,                0.37023,                  1.147,             0.00079233,             0.00079233,             0.00079233
                    108,                0.66569,                0.32747,                 1.0275,                0.98433,                      1,                  0.995,                0.79243,                 0.8198,                0.33984,                 1.1147,             0.00078407,             0.00078407,             0.00078407
                    109,                0.71474,                0.34687,                 1.0459,                 0.9853,                      1,                  0.995,                0.78429,                0.82703,                 0.3423,                 1.1299,             0.00077582,             0.00077582,             0.00077582
                    110,                0.67229,                0.34239,                 1.0364,                0.98477,                      1,                  0.995,                0.78542,                0.81423,                 0.3499,                 1.1257,             0.00076757,             0.00076757,             0.00076757
                    111,                0.70534,                0.34455,                 1.0427,                 0.9841,                      1,                  0.995,                0.77428,                0.84223,                0.36883,                 1.1481,             0.00075932,             0.00075932,             0.00075932
                    112,                0.67066,                0.33075,                 1.0284,                0.98304,                      1,                  0.995,                 0.7888,                  0.846,                0.36409,                 1.1512,             0.00075107,             0.00075107,             0.00075107
                    113,                0.70295,                0.33895,                 1.0374,                0.98043,                      1,                  0.995,                0.80126,                  0.827,                0.33982,                 1.1457,             0.00074282,             0.00074282,             0.00074282
                    114,                0.66408,                 0.3202,                 1.0394,                0.98413,                      1,                  0.995,                0.78617,                0.83072,                 0.3293,                 1.1489,             0.00073456,             0.00073456,             0.00073456
                    115,                0.66956,                0.33403,                 1.0302,                0.98502,                      1,                  0.995,                0.78452,                0.83349,                0.32192,                 1.1498,             0.00072631,             0.00072631,             0.00072631
                    116,                0.66936,                0.33337,                 1.0108,                0.98573,                      1,                  0.995,                0.77787,                0.84323,                0.32906,                  1.157,             0.00071806,             0.00071806,             0.00071806
                    117,                0.70012,                0.33921,                 1.0398,                0.98551,                      1,                  0.995,                0.77409,                0.85355,                 0.3461,                 1.1571,             0.00070981,             0.00070981,             0.00070981
                    118,                0.69346,                0.34662,                 1.0432,                0.98291,                      1,                  0.995,                0.78598,                0.84728,                0.36019,                 1.1679,             0.00070156,             0.00070156,             0.00070156
                    119,                0.69103,                0.33361,                 1.0392,                0.98056,                      1,                  0.995,                0.77915,                0.85062,                0.36387,                 1.1796,             0.00069331,             0.00069331,             0.00069331
                    120,                0.68306,                0.33789,                 1.0315,                0.98345,                      1,                  0.995,                 0.7832,                0.81752,                0.36537,                 1.1637,             0.00068505,             0.00068505,             0.00068505
                    121,                0.69057,                0.33362,                 1.0505,                 0.9835,                      1,                  0.995,                0.80324,                0.78432,                0.33007,                 1.1291,              0.0006768,              0.0006768,              0.0006768
                    122,                0.70216,                0.33295,                 1.0366,                0.98502,                      1,                  0.995,                 0.8008,                0.80943,                0.32921,                 1.1243,             0.00066855,             0.00066855,             0.00066855
                    123,                0.68268,                0.33274,                 1.0363,                 0.9849,                      1,                  0.995,                0.79382,                0.82854,                0.33977,                 1.1272,              0.0006603,              0.0006603,              0.0006603
                    124,                0.70196,                0.33191,                 1.0595,                0.98798,                      1,                  0.995,                0.80345,                0.78445,                0.32152,                 1.1059,             0.00065205,             0.00065205,             0.00065205
